cluster,problema,sintoma,solucao
0,alinhamento da direção,carro puxando para um lado,realizar alinhamento da direção
0,alinhamento da direção,carro puxando para um lado com barulho,realizar alinhamento da direção
0,alinhamento da direção,carro puxando para um lado e vibração,realizar alinhamento da direção
0,alinhamento de rodas,carro puxa para um lado,realizar alinhamento de rodas
0,alinhamento de rodas,carro puxa para um lado com barulho,realizar alinhamento de rodas
0,alinhamento de rodas,carro puxa para um lado e vibração,realizar alinhamento de rodas
0,alternador defeituoso,luzes fracas,substituir ou reparar o alternador
0,alternador defeituoso,luzes fracas,trocar ou reparar o alternador
0,alternador defeituoso,luzes fracas,realizar a troca ou reparar o alternador
0,alternador defeituoso,luzes fracas com barulho,substituir ou reparar o alternador
0,alternador defeituoso,luzes fracas com barulho,trocar ou reparar o alternador
0,alternador defeituoso,luzes fracas com barulho,realizar a troca ou reparar o alternador
0,alternador defeituoso,luzes fracas e vibração,substituir ou reparar o alternador
0,alternador defeituoso,luzes fracas e vibração,trocar ou reparar o alternador
0,alternador defeituoso,luzes fracas e vibração,realizar a troca ou reparar o alternador
0,alternador defeituoso,luz de bateria acesa,substituir o alternador
0,alternador defeituoso,luz de bateria acesa,trocar o alternador
0,alternador defeituoso,luz de bateria acesa,realizar a troca o alternador
0,alternador defeituoso,luz de bateria acesa com barulho,substituir o alternador
0,alternador defeituoso,luz de bateria acesa com barulho,trocar o alternador
0,alternador defeituoso,luz de bateria acesa com barulho,realizar a troca o alternador
0,alternador defeituoso,luz de bateria acesa e vibração,substituir o alternador
0,alternador defeituoso,luz de bateria acesa e vibração,trocar o alternador
0,alternador defeituoso,luz de bateria acesa e vibração,realizar a troca o alternador
0,amortecedores danificados,barulho na suspensao,substituir os amortecedores
0,amortecedores danificados,barulho na suspensao,trocar os amortecedores
0,amortecedores danificados,barulho na suspensao,realizar a troca os amortecedores
0,amortecedores danificados,barulho na suspensao com barulho,substituir os amortecedores
0,amortecedores danificados,barulho na suspensao com barulho,trocar os amortecedores
0,amortecedores danificados,barulho na suspensao com barulho,realizar a troca os amortecedores
0,amortecedores danificados,barulho na suspensao e vibração,substituir os amortecedores
0,amortecedores danificados,barulho na suspensao e vibração,trocar os amortecedores
0,amortecedores danificados,barulho na suspensao e vibração,realizar a troca os amortecedores
0,balanceamento de rodas,vibraçao no volante,balancear as rodas
0,balanceamento de rodas,vibraçao no volante com barulho,balancear as rodas
0,balanceamento de rodas,vibraçao no volante e vibração,balancear as rodas
0,bateria descarregada,ruido ao ligar,recarregar ou substituir a bateria
0,bateria descarregada,ruido ao ligar,recarregar ou trocar a bateria
0,bateria descarregada,ruido ao ligar,recarregar ou realizar a troca a bateria
0,bateria descarregada,ruido ao ligar com barulho,recarregar ou substituir a bateria
0,bateria descarregada,ruido ao ligar com barulho,recarregar ou trocar a bateria
0,bateria descarregada,ruido ao ligar com barulho,recarregar ou realizar a troca a bateria
0,bateria descarregada,ruido ao ligar e vibração,recarregar ou substituir a bateria
0,bateria descarregada,ruido ao ligar e vibração,recarregar ou trocar a bateria
0,bateria descarregada,ruido ao ligar e vibração,recarregar ou realizar a troca a bateria
0,bateria descarregada,o carro nao liga,trocar ou recarregar a bateria
0,bateria descarregada,o carro nao liga com barulho,trocar ou recarregar a bateria
0,bateria descarregada,o carro nao liga e vibração,trocar ou recarregar a bateria
0,bico injetor sujo ou danificado,luz de injeção acesa,limpar ou substituir bico injetor
0,bico injetor sujo ou danificado,luz de injeção acesa,limpar ou trocar bico injetor
0,bico injetor sujo ou danificado,luz de injeção acesa,limpar ou realizar a troca bico injetor
0,bico injetor sujo ou danificado,luz de injeção acesa com barulho,limpar ou substituir bico injetor
0,bico injetor sujo ou danificado,luz de injeção acesa com barulho,limpar ou trocar bico injetor
0,bico injetor sujo ou danificado,luz de injeção acesa com barulho,limpar ou realizar a troca bico injetor
